企業名,業種,従業員数,課題,担当者役職,現在の業務ツール
トヨタ自動車,製造業,370000,工場レポート作成に毎週20時間かかる,生産管理部長,Excel＋紙帳票
リクルート,人材サービス,50000,求人原稿の作成が属人化している,マーケティングマネージャー,社内CMS
三井住友銀行,金融,30000,融資審査書類の要約に時間がかかる,融資部課長,Word＋基幹システム
楽天グループ,EC・IT,30000,商品説明文の多言語対応が追いつかない,EC事業部リーダー,翻訳外注＋Google翻訳
日本航空,航空・運輸,35000,マニュアル改訂のたびに全文チェックが必要,品質管理部,PDF＋SharePoint
サイバーエージェント,広告・メディア,7000,広告クリエイティブのABテスト案作成が遅い,クリエイティブディレクター,Figma＋スプレッドシート
味の素,食品製造,34000,研究レポートの要約と社内共有に手間がかかる,R&D部門マネージャー,社内ポータル＋メール
大和ハウス工業,建設・不動産,48000,見積書・提案書の作成に営業が時間を取られる,営業統括部長,PowerPoint＋専用システム
メルカリ,ITサービス,2000,CSへの問い合わせ対応テンプレが陳腐化している,CS部門リーダー,Zendesk
パナソニック,電機・製造,240000,技術文書の英訳レビューに工数がかかりすぎる,知的財産部門長,翻訳会社＋Word
